,makespans,average_makespan,time,average_completions,average_slowdowns,reward
0,"[796, 806, 807, 798, 805, 801, 798, 800, 805, 800, 799, 796]",800.9166666666666,1014.7201015949249,114.82510168101588,3.209478158172131,"[-0.17544633017412387, -0.17725973169122497, -0.1774406332453826, -0.17580964970257765, -0.177078750549934, -0.1763540290620872, -0.17580964970257765, -0.17617264919621228, -0.177078750549934, -0.17617264919621228, -0.1759911894273128, -0.17544633017412387]"
1,"[799, 799, 805, 795, 798, 800, 800, 800, 800, 811, 800, 800]",800.5833333333334,1018.3520963191986,114.4188516810159,3.185266109158086,"[-0.1759911894273128, -0.1759911894273128, -0.177078750549934, -0.17526455026455026, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.1781634446397188, -0.17617264919621228, -0.17617264919621228]"
2,"[794, 805, 794, 798, 796, 800, 796, 800, 794, 804, 801, 795]",798.0833333333334,1050.2325472831726,114.63412945879367,3.2053224219519514,"[-0.17508269018743108, -0.177078750549934, -0.17508269018743108, -0.17580964970257765, -0.17544633017412387, -0.17617264919621228, -0.17544633017412387, -0.17617264919621228, -0.17508269018743108, -0.1768976897689769, -0.1763540290620872, -0.17526455026455026]"
3,"[809, 795, 798, 801, 805, 805, 800, 799, 804, 799, 798, 801]",801.1666666666666,1046.7497065067291,114.71225445879365,3.179837334097545,"[-0.1778021978021978, -0.17526455026455026, -0.17580964970257765, -0.1763540290620872, -0.177078750549934, -0.177078750549934, -0.17617264919621228, -0.1759911894273128, -0.1768976897689769, -0.1759911894273128, -0.17580964970257765, -0.1763540290620872]"
4,"[796, 805, 800, 805, 798, 795, 796, 798, 805, 800, 795, 798]",799.25,1037.6756074428558,114.47787945879365,3.190630395592694,"[-0.17544633017412387, -0.177078750549934, -0.17617264919621228, -0.177078750549934, -0.17580964970257765, -0.17526455026455026, -0.17544633017412387, -0.17580964970257765, -0.177078750549934, -0.17617264919621228, -0.17526455026455026, -0.17580964970257765]"
5,"[806, 800, 800, 805, 803, 800, 800, 799, 799, 798, 794, 805]",800.75,1066.414030790329,114.21051834768257,3.1561822175101386,"[-0.17725973169122497, -0.17617264919621228, -0.17617264919621228, -0.177078750549934, -0.17671654929577466, -0.17617264919621228, -0.17617264919621228, -0.1759911894273128, -0.1759911894273128, -0.17580964970257765, -0.17508269018743108, -0.177078750549934]"
6,"[799, 801, 799, 799, 804, 800, 800, 805, 798, 800, 798, 804]",800.5833333333334,1063.485538482666,114.75392112546034,3.2150266696316367,"[-0.1759911894273128, -0.1763540290620872, -0.1759911894273128, -0.1759911894273128, -0.1768976897689769, -0.17617264919621228, -0.17617264919621228, -0.177078750549934, -0.17580964970257765, -0.17617264919621228, -0.17580964970257765, -0.1768976897689769]"
7,"[805, 798, 801, 800, 794, 799, 805, 798, 799, 798, 799, 805]",800.0833333333334,1054.0801680088043,114.49350445879367,3.167800548141783,"[-0.177078750549934, -0.17580964970257765, -0.1763540290620872, -0.17617264919621228, -0.17508269018743108, -0.1759911894273128, -0.177078750549934, -0.17580964970257765, -0.1759911894273128, -0.17580964970257765, -0.1759911894273128, -0.177078750549934]"
8,"[795, 800, 798, 799, 800, 800, 798, 800, 798, 796, 798, 799]",798.4166666666666,1028.8509645462036,114.61850445879365,3.2141200212271026,"[-0.17526455026455026, -0.17617264919621228, -0.17580964970257765, -0.1759911894273128, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765, -0.17617264919621228, -0.17580964970257765, -0.17544633017412387, -0.17580964970257765, -0.1759911894273128]"
9,"[801, 800, 805, 794, 800, 810, 799, 800, 798, 801, 805, 800]",801.0833333333334,1031.433130979538,114.65843501434921,3.1957697170855988,"[-0.1763540290620872, -0.17617264919621228, -0.177078750549934, -0.17508269018743108, -0.17617264919621228, -0.17798286090969018, -0.1759911894273128, -0.17617264919621228, -0.17580964970257765, -0.1763540290620872, -0.177078750549934, -0.17617264919621228]"
10,"[805, 801, 797, 805, 796, 798, 798, 798, 800, 800, 805, 800]",800.25,1054.3768343925476,114.83378223657142,3.210744332466137,"[-0.177078750549934, -0.1763540290620872, -0.17562802996914942, -0.177078750549934, -0.17544633017412387, -0.17580964970257765, -0.17580964970257765, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.177078750549934, -0.17617264919621228]"
11,"[802, 810, 798, 805, 796, 810, 800, 805, 805, 800, 806, 801]",803.1666666666666,1054.760142326355,114.80253223657142,3.20894377596853,"[-0.17653532907770195, -0.17798286090969018, -0.17580964970257765, -0.177078750549934, -0.17544633017412387, -0.17798286090969018, -0.17617264919621228, -0.177078750549934, -0.177078750549934, -0.17617264919621228, -0.17725973169122497, -0.1763540290620872]"
12,"[798, 800, 800, 801, 800, 800, 799, 800, 796, 798, 805, 798]",799.5833333333334,1050.3045315742493,114.967462792127,3.216299683583875,"[-0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.1763540290620872, -0.17617264919621228, -0.17617264919621228, -0.1759911894273128, -0.17617264919621228, -0.17544633017412387, -0.17580964970257765, -0.177078750549934, -0.17580964970257765]"
13,"[801, 798, 804, 798, 798, 800, 800, 804, 800, 798, 799, 800]",800.0,1043.25452709198,114.37024056990477,3.1513858337762546,"[-0.1763540290620872, -0.17580964970257765, -0.1768976897689769, -0.17580964970257765, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.1768976897689769, -0.17617264919621228, -0.17580964970257765, -0.1759911894273128, -0.17617264919621228]"
14,"[800, 800, 800, 796, 800, 805, 800, 798, 798, 796, 799, 805]",799.75,1027.583312511444,114.42753223657144,3.2188232208390954,"[-0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17544633017412387, -0.17617264919621228, -0.177078750549934, -0.17617264919621228, -0.17580964970257765, -0.17580964970257765, -0.17544633017412387, -0.1759911894273128, -0.177078750549934]"
